,created_on,shipped_on,delivered_on,lat,long
0,2020-09-01 00:00:13,2020-09-01 20:15:46,2020-09-03 14:33:00,0.0,0.0
2,2020-09-01 00:01:35,2020-09-02 18:21:21,2020-09-08 11:32:00,41.68423663590096,-73.17810272519492
3,2020-09-01 00:01:56,2020-09-01 20:41:13,2020-09-08 11:46:00,0.0,0.0
4,2020-09-01 00:03:09,2020-09-01 20:37:41,2020-09-05 10:55:00,28.65979687755102,-81.27703177551021
5,2020-09-01 00:03:14,2020-09-02 13:06:53,2020-09-04 20:36:00,42.53726475291793,-88.56328540082697
6,2020-09-01 00:03:49,2020-09-01 19:15:27,2020-09-05 14:10:00,29.550164632720584,-98.34598162868738
7,2020-09-01 00:04:34,2020-09-01 20:17:43,2020-09-05 12:07:00,0.0,0.0
8,2020-09-01 00:04:47,2020-09-15 20:23:27,2020-09-16 18:19:00,33.50401414988478,-117.71659011890311
9,2020-09-01 00:07:01,2020-09-04 13:51:56,2020-09-14 14:59:00,26.56212779585362,-81.9117021354529
10,2020-09-01 00:09:09,2020-09-01 21:10:11,2020-09-05 13:45:00,0.0,0.0
11,2020-09-01 00:09:52,2020-09-01 21:06:56,2020-09-05 08:58:00,30.100395558350105,-97.86112957132559
12,2020-09-01 00:13:12,2020-09-05 14:42:35,2020-09-12 09:37:00,39.53115394526663,-89.24102763618747
13,2020-09-01 00:13:39,2020-09-04 20:56:11,2020-09-12 14:05:00,47.642173400000004,-122.36257767399859
14,2020-09-01 00:14:25,2020-09-02 13:58:08,2020-09-09 12:47:00,0.0,0.0
15,2020-09-01 00:16:02,2020-09-01 20:58:54,2020-09-08 13:04:00,28.1358122,-80.6854554
17,2020-09-01 00:22:28,2020-09-01 20:49:02,2020-09-05 14:53:00,0.0,0.0
18,2020-09-01 00:22:31,2020-09-02 18:21:51,2020-09-09 14:21:00,0.0,0.0
19,2020-09-01 00:23:56,2020-09-09 20:56:15,2020-09-16 13:35:00,33.677595933587185,-112.05024638912059
20,2020-09-01 00:23:57,2020-09-01 20:27:58,2020-09-09 12:53:00,33.677595933587185,-112.05024638912059
21,2020-09-01 00:23:57,2020-09-09 20:56:16,2020-09-16 13:35:00,33.677595933587185,-112.05024638912059
22,2020-09-01 00:23:57,2020-09-01 20:56:04,2020-09-05 11:12:00,0.0,0.0
23,2020-09-01 00:29:21,2020-09-04 14:55:32,2020-09-12 13:48:00,0.0,0.0
24,2020-09-01 00:29:25,2020-09-01 20:45:39,2020-09-12 11:08:00,37.71350111747915,-121.84737251841815
25,2020-09-01 00:31:07,2020-09-01 21:43:14,2020-09-05 17:02:00,0.0,0.0
26,2020-09-01 00:32:49,2020-09-01 21:23:26,2020-09-08 17:38:00,0.0,0.0
29,2020-09-01 00:42:37,2020-09-01 19:07:38,2020-09-05 14:04:00,35.8098519,-78.882561
31,2020-09-01 00:48:58,2020-09-02 15:43:48,2020-09-08 13:54:00,32.76778895759763,-97.737512318903
32,2020-09-01 00:51:05,2020-09-01 20:47:46,2020-09-05 13:14:00,0.0,0.0
33,2020-09-01 00:52:11,2020-09-04 18:52:17,2020-09-17 12:36:00,36.146892784669014,-115.25656156524984
